Property Name,Price,Beds,Baths,Sqft,Home Type,URL of Property,Combined List of Amenities and List of Features
"VILLA FOR SALE IN MIRA 1, MIRA","2,900,000 AED",3,4,"2,385 sqft / 222 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-reem-mira-mira-1.html,"['Single row', 'Close to amenities', 'Type2M', 'Maids’ Room', '2 Covered Parking Space', 'Rented no notice served', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Private Gym', 'Private Jacuzzi', 'Security', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Pets Allowed']"
"VILLA FOR SALE IN ALVORADA 4, ALVORADA","10,650,000 AED",4,4,"4,200 sqft / 390 sqm",Villa,https://www.propertyfinder.ae/to/11710322/en,"['Amenities: Maids Room, Central A/C, Balcony, Private Garden, Shared Pool, Security, Covered Parking, Built in Wardrobes, Walk-in Closet', 'Features: Turnkey, 4 Bedroom, Fully renovated, Large Plot, Facing Community Pool, 7,767 sq.ft Plot', 'Additional Information: Elif Dulger usually responds within 5 minutes']"
"VILLA FOR SALE IN AL MAHRA, ARABIAN RANCHES","12,400,000 AED",6,5,"5,383 sqft / 500 sqm",Villa,https://www.propertyfinder.ae/to/11690462/en,"{'Amenities': ['Maids Room', 'Balcony', 'Private Garden', 'Private Pool', 'Security', 'Covered Parking'], 'Features': ['6 bedrooms plus maids', 'Landscaped garden with private pool', 'Upgraded flooring throughout downstairs', 'New kitchen with integrated appliances', 'Bright modern villa in great location', 'Opposite Pool & Park', 'Vacant on Transfer', 'BUA: 5,383 sq.ft', 'PLOT: 11,495 sq.ft']}"
"VILLA FOR SALE IN CASA DORA, SERENA","2,550,000 AED",3,4,"2,332 sqft / 217 sqm",Villa,https://www.propertyfinder.ae/to/11680969/en,"[""Amenities: Shared Pool, Security, Pets Allowed, Shared Gym, Children's Pool, Children's Play Area, Barbecue Area"", 'Features: Near the Park, Type C, Single Row', ""Community Amenities: Swimming pools, Retail center, Parks, Jogging track, Tennis court, Basketball court, Children's playing area""]"
VILLA FOR SALE IN THE CENTRO,"6,299,000 AED",5 Bedrooms,5 Bathrooms,"4,478 sqft / 416 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-the-villa-the-centro.html,"['Custom Type', 'with Pool', 'Prime Location', 'Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Pets Allowed', ""Children's Play Area"", 'Barbecue Area']"
"VILLA FOR SALE IN GARDEN HALL, MEDITERRANEAN CLUSTERS","29,000,000 AED",5,5,"6,267 sqft / 582 sqm",Villa,https://www.propertyfinder.ae/to/11722627/en,"['Fully Upgraded', 'Miami Style', 'Extended']"
"VILLA FOR SALE IN SIDRA VILLAS III, SIDRA VILLAS","7,250,000 AED",3,3,"3,102 sqft / 288 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-dubai-hills-estate-sidra-villas-sidra-villas-iii.html,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Pool', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Pets Allowed', 'Rented unit until September 2024', 'Standalone Villa - Corner', 'Unit Type: 3 Bedrooms - Extended + Elevator', 'View: Community', 'Kitchen: Open and Fully Fitted', 'Bathrooms: 3', 'No. of Parking: 2', 'Bua 3102 sqft', 'Plot Area: 4793 sq.ft', 'Furnished: No', 'Balcony', 'Broadband ready', 'Public parking', 'Security']"
"VILLA FOR SALE IN SILVER SPRINGS 3, SILVER SPRINGS","6,600,000 AED",6,7,"3,395 sqft / 315 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-damac-hills-silver-springs-silver-springs-3.html,"['Maids Room', 'Balcony', 'Private Garden', 'Built in Wardrobes', '6 Bedrooms', ""Maid's Room"", '7 Bathrooms', '2 Parking Spaces', '18-Hole Championship Golf Course', 'Corner Unit', 'G+2', 'Entertainment Roof (Gaming Room + Spacious Terrace)', 'Views of the Golf Course', 'Fully Furnished Kitchen', 'Spacious Bedrooms', 'Separate Maid’s Room', 'Swimming Pool', 'Balconies', 'Private Lawns', 'Two Parking Spaces', 'Close to Various Entertainment Destinations, Restaurants, Grocery Stores, Supermarkets, Spas & Wellness Centres, Banks, and Pharmacies']"
"VILLA FOR SALE IN ELORA, THE VALLEY","2,100,000 AED",3,3,"2,095 sqft / 195 sqm",Villa,https://www.propertyfinder.ae/en/buy/dubai/villas-for-sale-the-valley-elora.html,"['Green Belt', 'Close to Golden Beach', 'Single Row']"
"VILLA FOR SALE IN HAYAT TOWNHOUSES, TOWN SQUARE","2,200,000 AED",3,4,"2,062 sqft / 192 sqm",Villa,https://www.propertyfinder.ae/to/11506784/en,"{'Amenities': ['Maids Room', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'Kitchen Appliances', 'Shared Gym', 'Vastu-compliant'], 'Features': ['Upgraded', 'Type 5', 'View Today']}"
